# copied from https://lpdaac.usgs.gov/lpdaac/products/modis_products_table (16. August 2011);;;;;
"Shortname";"Platform";"MODIS_Product";"Raster_Type";"Resolution";"Temporal_Granularity"
"MOD14";"Terra";"Thermal Anomalies & Fire";"Swath";"1000m";"5 Min"
"MYD14";"Aqua";"Thermal Anomalies & Fire";"Swath";"1000m";"5 Min"
"MOD14A1";"Terra";"Thermal Anomalies & Fire";"Tile";"1000m";"Daily"
"MYD14A1";"Aqua";"Thermal Anomalies & Fire";"Tile";"1000m";"Daily"
"MOD14A2";"Terra";"Thermal Anomalies & Fire";"Tile";"1000m";"8 Day"
"MYD14A2";"Aqua";"Thermal Anomalies & Fire ";"Tile";"1000m";"8 Day"
"MOD12Q1";"Terra";"Land Cover Type";"Tile";"1000m";"Yearly"
"MCD12Q1";"Combined";"Land Cover Type";"Tile";"500m";"Yearly"
"MOD12Q2";"Terra";"Land Cover Dynamics";"Tile";"1000 m";"Yearly"
"MCD12Q2";"Combined";"Land Cover Dynamics";"Tile";"500 m";"Yearly"
"MOD12C1";"Terra";"Land Cover Type";"CMG";"5600m";"Yearly"
"MCD12C1";"Combined";"Land Cover Type";"CMG";"5600m";"Yearly"
"MOD44B";"Terra";"Vegetation Continuous Fields";"Tile";"500m";"Yearly"
"MCD45A1";"Combined";"Burned Area";"Tile";"500m";"Monthly"
"MOD09GA";"Terra";"Surface Reflectance Bands 1-7";"Tile";"500/1000m";"Daily"
"MYD09GA";"Aqua";"Surface Reflectance Bands 1-7";"Tile";"500/1000m";"Daily"
"MOD09GQ";"Terra";"Surface Reflectance Bands 1-2";"Tile";"250m";"Daily"
"MYD09GQ";"Aqua";"Surface Reflectance Bands 1-2";"Tile";"250m";"Daily"
"MOD09CMG";"Terra";"Surface Reflectance Bands 1-7";"CMG";"5600m";"Daily"
"MYD09CMG";"Aqua";"Surface Reflectance Bands 1-7";"CMG";"5600m";"Daily"
"MOD09A1";"Terra";"Surface Reflectance Bands 1-7";"Tile";"500m";"8 Day"
"MYD09A1";"Aqua";"Surface Reflectance Bands 1-7";"Tile";"500m";"8 Day"
"MOD09Q1";"Terra";"Surface Reflectance Bands 1-2";"Tile";"250m";"8 Day"
"MYD09Q1";"Aqua";"Surface Reflectance Bands 1-2";"Tile";"250m";"8 Day"
"MOD13A1";"Terra";"Vegetation Indices";"Tile";"500m";"16 Day"
"MYD13A1";"Aqua";"Vegetation Indices";"Tile";"500m";"16 Day"
"MOD13A2";"Terra";"Vegetation Indices";"Tile";"1000m";"16 Day"
"MYD13A2";"Aqua";"Vegetation Indices";"Tile";"1000m";"16 Day"
"MOD13Q1";"Terra";"Vegetation Indices";"Tile";"250m";"16 Day"
"MYD13Q1";"Aqua";"Vegetation Indices";"Tile";"250m";"16 Day"
"MOD13A3";"Terra";"Vegetation Indices";"Tile";"1000m";"Monthly"
"MYD13A3";"Aqua";"Vegetation Indices";"Tile";"1000m";"Monthly"
"MOD13C1";"Terra";"Vegetation Indices";"CMG";"5600m";"16 Day"
"MYD13C1";"Aqua";"Vegetation Indices";"CMG";"5600m";"16 Day"
"MOD13C2";"Terra";"Vegetation Indices";"CMG";"5600m";"Monthly"
"MYD13C2";"Aqua";"Vegetation Indices";"CMG";"5600m";"Monthly"
"MOD44W";"Terra";"Land Water Mask Derived";"Tile";"250m";"none"
"MOD11_L2";"Terra";"Land Surface Temperature & Emissivity";"Swath";"1000m";"5 Min"
"MYD11_L2";"Aqua";"Land Surface Temperature & Emissivity";"Swath";"1000m";"5 Min"
"MOD11A1";"Terra";"Land Surface Temperature & Emissivity";"Tile";"1000m";"Daily"
"MYD11A1";"Aqua";"Land Surface Temperature & Emissivity";"Tile";"1000m";"Daily"
"MOD11A2";"Terra";"Land Surface Temperature & Emissivity";"Tile";"1000m";"8 Day"
"MYD11A2";"Aqua";"Land Surface Temperature & Emissivity";"Tile";"1000m";"8 Day"
"MOD11B1";"Terra";"Land Surface Temperature & Emissivity";"Tile";"6000m";"Daily"
"MYD11B1";"Aqua";"Land Surface Temperature & Emissivity";"Tile";"6000m";"Daily"
"MOD11C1";"Terra";"Land Surface Temperature & Emissivity";"CMG";"5600m";"Daily"
"MYD11C1";"Aqua";"Land Surface Temperature & Emissivity";"CMG";"5600m";"Daily"
"MOD11C2";"Terra";"Land Surface Temperature & Emissivity";"CMG";"5600m";"8 Day"
"MYD11C2";"Aqua";"Land Surface Temperature & Emissivity";"CMG";"5600m";"8 Day"
"MOD11C3";"Terra";"Land Surface Temperature & Emissivity";"CMG";"5600m";"Monthly"
"MYD11C3";"Aqua";"Land Surface Temperature & Emissivity";"CMG";"5600m";"Monthly"
"MOD14";"Terra";"Thermal Anomalies & Fire";"Swath";"1000m";"5 Min"
"MYD14";"Aqua";"Thermal Anomalies & Fire";"Swath";"1000m";"5 Min"
"MOD14A1";"Terra";"Thermal Anomalies & Fire";"Tile";"1000m";"Daily"
